ID,Words,Image URL,Twitter URL,Tags
87,どんな案件ですかい？,http://aikatsup.com/media/images/87.jpg,https://twitter.com/_aikatsup/status/567703128380674049/photo/1,おっさん,星宮いちご,霧矢あおい
88,ハロー！,http://aikatsup.com/media/images/88.jpg,https://twitter.com/_aikatsup/status/567703133359316992/photo/1,一ノ瀬かえで
89,これは恋？,http://aikatsup.com/media/images/89.jpg,https://twitter.com/_aikatsup/status/567703138702860289/photo/1,紫吹蘭,藤堂ユリカ
90,あなたです！,http://aikatsup.com/media/images/90.jpg,https://twitter.com/_aikatsup/status/567703143383699457/photo/1,星宮いちご,音城セイラ
91,よろしくお願いします！,http://aikatsup.com/media/images/91.jpg,https://twitter.com/_aikatsup/status/567703148676935680/photo/1,霧矢あおい
92,さぁ　受け取ってくれ,http://aikatsup.com/media/images/92.jpg,https://twitter.com/_aikatsup/status/567703154687361024/photo/1,紫吹蘭
93,至福のひとときでした,http://aikatsup.com/media/images/93.jpg,https://twitter.com/_aikatsup/status/567703159078785025/photo/1,霧矢あおい
94,お腹いっぱい！　食べすぎた・・・,http://aikatsup.com/media/images/94.jpg,https://twitter.com/_aikatsup/status/567703164191657984/photo/1,霧矢あおい
95,オー　ノー！,http://aikatsup.com/media/images/95.jpg,https://twitter.com/_aikatsup/status/567703169040269312/photo/1,ジョニー
96,なにぃ！？,http://aikatsup.com/media/images/96.jpg,https://twitter.com/_aikatsup/status/567703173461073920/photo/1,ジョニー
97,と～んだビッグニュースが飛び込んできたぜ　イエー！,http://aikatsup.com/media/images/97.jpg,https://twitter.com/_aikatsup/status/567703178573914112/photo/1,ジョニー
98,オウ・・・,http://aikatsup.com/media/images/98.jpg,https://twitter.com/_aikatsup/status/567703182935998465/photo/1,ジョニー
99,あ・・・,http://aikatsup.com/media/images/99.jpg,https://twitter.com/_aikatsup/status/567703187436478464/photo/1,星宮いちご
100,なかなかできることじゃないわ,http://aikatsup.com/media/images/100.jpg,https://twitter.com/_aikatsup/status/567703191769190401/photo/1,ジョニー,学園長
101,ここ・・・本当に日本ですか？,http://aikatsup.com/media/images/101.jpg,https://twitter.com/_aikatsup/status/567703196798181377/photo/1,大空あかり,新条ひなき,氷上スミレ
102,正直に言っていいんだよ,http://aikatsup.com/media/images/102.jpg,https://twitter.com/_aikatsup/status/567703215840301058/photo/1,トップデザイナー
